szn,szn_type,official,ref_points,games,ref_rating
2021,regular season,Derek Richardson,76,44,1.7272727272727273
2021,regular season,Derrick Collins,170,50,3.4
2021,regular season,Ed Malloy,218,44,4.954545454545454
2021,regular season,Eric Dalen,113,53,2.1320754716981134
2021,regular season,Eric Lewis,260,52,5
2021,regular season,Evan Scott,36,36,1
2021,regular season,Gediminas Petraitis,156,52,3
2021,regular season,Haywoode Workman,40,40,1
2021,regular season,Jacyn Goble,119,47,2.5319148936170213
2021,regular season,James Capers,265,53,5
2021,regular season,James Williams,216,48,4.5
2021,regular season,Jason Goldenberg,41,41,1
2021,regular season,JB DeRosa,115,51,2.2549019607843137
2021,regular season,Jenna Schroeder,38,38,1
2021,regular season,John Butler,39,39,1
2021,regular season,John Conley,25,25,1
2021,regular season,John Goble,250,50,5
2021,regular season,Jonathan Sterling,64,44,1.4545454545454546
2021,regular season,Josh Tiven,270,54,5
2021,regular season,JT Orr,7,3,2.3333333333333335
2021,regular season,Justin Van Duyne,67,51,1.3137254901960784
2021,regular season,Kane Fitzgerald,205,41,5
2021,regular season,Karl Lane,152,52,2.923076923076923
2021,regular season,Ken Mauer,245,49,5
2021,regular season,Kevin Cutler,139,43,3.2325581395348837
2021,regular season,Kevin Scott,245,49,5
2021,regular season,Lauren Holtkamp,68,34,2
2021,regular season,Leon Wood,127,43,2.953488372093023
2021,regular season,Leroy Richardson,41,39,1.0512820512820513
2021,regular season,Marat Kogut,147,49,3
2021,regular season,Marc Davis,280,56,5
2021,regular season,Mark Ayotte,172,50,3.44
2021,regular season,Mark Lindsay,90,30,3
2021,regular season,Matt Boland,107,43,2.488372093023256
2021,regular season,Matt Kallio,20,20,1
2021,regular season,Matt Myers,33,33,1
2021,regular season,Michael Smith,150,48,3.125
2021,regular season,Mitchell Ervin,147,53,2.7735849056603774
2021,regular season,Mousa Dagher,44,44,1
2021,regular season,Natalie Sago,95,47,2.021276595744681
2021,regular season,Nate Green,46,46,1
2021,regular season,Nick Buchert,144,48,3
2021,regular season,Pat Fraher,110,22,5
2021,regular season,Phenizee Ransom,39,39,1
2021,regular season,Ray Acosta,60,40,1.5
2021,regular season,Robert Hussey,23,23,1
2021,regular season,Rodney Mott,245,49,5
2021,regular season,Scott Foster,230,46,5
2021,regular season,Scott Twardoski,116,48,2.4166666666666665
2021,regular season,Scott Wall,116,46,2.5217391304347827
2021,regular season,Sean Corbin,204,48,4.25
2021,regular season,Sean Wright,229,47,4.872340425531915
2021,regular season,Simone Jelks,33,33,1
2021,regular season,Suyash Mehta,33,33,1
2021,regular season,Tom Washington,133,37,3.5945945945945947
2021,regular season,Tony Brothers,240,48,5
2021,regular season,Tony Brown,200,40,5
2021,regular season,Tre Maddox,183,37,4.945945945945946
2021,regular season,Tyler Ford,147,45,3.2666666666666666
2021,regular season,Zach Zarba,270,54,5
2022,all-star,Brian Forte,1,1,1
2022,all-star,James Williams,3,1,3
2022,all-star,Kane Fitzgerald,5,1,5
2022,play-in,Ben Taylor,1,1,1
2022,play-in,Bill Kennedy,1,1,1
2022,play-in,Curtis Blair,3,1,3
2022,play-in,David Guthrie,5,1,5
2022,play-in,Ed Malloy,3,1,3
2022,play-in,Eric Lewis,3,1,3
2022,play-in,Jacyn Goble,1,1,1
2022,play-in,James Capers,5,1,5
2022,play-in,James Williams,3,1,3
2022,play-in,Josh Tiven,3,1,3
2022,play-in,Kane Fitzgerald,5,1,5
2022,play-in,Marc Davis,5,1,5
2022,play-in,Mark Lindsay,1,1,1
2022,play-in,Scott Foster,5,1,5
2022,play-in,Sean Wright,3,1,3
2022,play-in,Tom Washington,1,1,1
2022,play-in,Tyler Ford,1,1,1
2022,play-in,Zach Zarba,5,1,5
2022,playoffs,Ben Taylor,13,7,1.8571428571428572
2022,playoffs,Bill Kennedy,13,7,1.8571428571428572
2022,playoffs,Brent Barnaky,2,2,1
2022,playoffs,Brian Forte,4,4,1
2022,playoffs,Courtney Kirkland,29,11,2.6363636363636362
2022,playoffs,Curtis Blair,19,9,2.111111111111111
2022,playoffs,David Guthrie,65,15,4.333333333333333
2022,playoffs,Ed Malloy,11,7,1.5714285714285714
2022,playoffs,Eric Dalen,1,1,1
2022,playoffs,Eric Lewis,36,10,3.6
2022,playoffs,Gediminas Petraitis,4,4,1
2022,playoffs,Jacyn Goble,4,4,1
2022,playoffs,James Capers,73,15,4.866666666666666
2022,playoffs,James Williams,26,10,2.6
2022,playoffs,JB DeRosa,2,2,1
2022,playoffs,John Goble,45,13,3.4615384615384617
2022,playoffs,Josh Tiven,33,13,2.5384615384615383
2022,playoffs,Justin Van Duyne,1,1,1
2022,playoffs,Kane Fitzgerald,59,13,4.538461538461538
2022,playoffs,Karl Lane,4,4,1
2022,playoffs,Kevin Cutler,1,1,1
2022,playoffs,Marc Davis,65,13,5
2022,playoffs,Mark Lindsay,15,9,1.6666666666666667
2022,playoffs,Michael Smith,2,2,1
2022,playoffs,Mitchell Ervin,4,4,1
