szn,team,ref_rating,tv_games,games
2019,MIL,3.0815110114996815,22,73
2019,MIN,2.878060591662877,1,64
2019,NOP,3.125018031007123,26,73
2019,NYK,2.848620408961871,2,66
2019,OKC,2.9708024217898235,6,73
2019,ORL,2.8750571707451757,2,73
2019,PHI,3.081952444438559,24,73
2019,PHX,3.0176642875267503,2,73
2019,POR,3.0818455225837793,21,74
2019,SAC,2.9723958882342703,1,73
2019,SAS,3.003805125640354,7,71
2019,TOR,2.992138586420471,11,72
2019,UTA,3.0955842497170516,12,73
2019,WAS,2.893463377310562,1,72
2020,ATL,2.950035217247699,4,72
2020,BKN,3.0840213983057168,27,72
2020,BOS,3.0048046545261338,28,72
2020,CHA,2.9320575793421613,3,72
2020,CHI,2.9275169811005175,2,72
2020,CLE,2.882621722306105,0,72
2020,DAL,3.1201591946148093,22,72
2020,DEN,3.082094140497437,12,72
2020,DET,2.8931452504283253,0,72
2020,GSW,3.14535644743167,30,72
2020,HOU,2.9666448434426185,8,72
2020,IND,2.9106248602696674,4,72
2020,LAC,3.126537509036561,25,72
2020,LAL,3.1767256767281995,33,72
2020,MEM,2.965249239827476,5,72
2020,MIA,3.03510114069005,13,72
2020,MIL,3.065343542566123,22,72
2020,MIN,2.8494428136768524,1,72
2020,NOP,3.0277999243011116,22,72
2020,NYK,2.9627339098551495,8,72
2020,OKC,2.881194762514635,0,72
2020,ORL,2.838714073890207,0,72
2020,PHI,3.0281209047984077,19,72
2020,PHX,3.14216411031317,15,72
2020,POR,3.0617524019609967,13,72
2020,SAC,2.974476519605864,0,72
2020,SAS,2.9769430139300503,1,72
2020,TOR,2.9917670785568644,4,72
2020,UTA,3.1145198302944146,11,72
2020,WAS,2.898627327634686,2,72
2021,ATL,3.1267189041148815,12,69
2021,BKN,3.1181988846668873,23,69
2021,BOS,3.0896346412323,19,70
2021,CHA,2.935898355003117,5,69
2021,CHI,3.018213137243944,7,69
2021,CLE,2.905708679648055,1,69
2021,DAL,3.04584889584674,19,68
2021,DEN,3.0352264262119664,10,70
2021,DET,2.8727030271356453,1,69
2021,GSW,3.205555404042866,30,70
2021,HOU,2.8527360409912847,1,68
2021,IND,3.0281449435431496,2,70
2021,LAC,3.0421273122284362,11,71
2021,LAL,3.1703428249754984,26,69
2021,MEM,3.0650220763286047,6,70
2021,MIA,3.009408446882483,8,69
2021,MIL,3.042214558334363,20,69
2021,MIN,2.9035972258984235,2,71
2021,NOP,2.938368130066869,5,68
2021,NYK,3.1093155576740563,20,69
2021,OKC,2.9132713078995733,0,69
2021,ORL,2.865850351246074,0,70
2021,PHI,3.0980893384662966,14,67
2021,PHX,3.1040844187113352,24,70
2021,POR,2.9590361220217587,9,68
2021,SAC,2.930407546263442,0,71
2021,SAS,2.919529596044102,0,70
2021,TOR,2.9133949127790997,1,69
2021,UTA,3.012709573157537,12,69
2021,WAS,2.8591649050964913,2,67
