period,time,call_type,committing,disadvantaged,decision,comments,game_details,page,file,game_date,away_score,away_team,home_score,home_team,call,type,date,home,away,scrape_time,stint,game_id,home_bkref,bkref_id,nba_game_id,ref_1,ref_2,ref_3,attendance,committing_min,committing_team,committing_side,disadvantaged_min,disadvantaged_team,disadvantaged_side,type2,time_min,time_sec,time2,season,playoff,decision_2,decision_3,correct,correct_num,foul,foul_num,temp_year,temp_date
Q4,01:40:00,Foul: Personal,Tony Allen,Ryan Anderson,CNC,Allen (MEM) strips the ball from Asik (NOP) immediately after he gathers the rebound.,"Grizzlies @ Pelicans (Mar 07, 2015)",1,L2M-MEM-NOP-3-7-15.pdf,"Mar 07, 2015",NA,MEM,NA,NOP,FOUL,PERSONAL,2015-03-07,NOP,MEM,NA,NA,NA,NOP,201503070NOP,NA,Dan Crawford,David Guthrie,Gary Zielinski,17346,32,MEM,away,NA,NOP,home,PERSONAL,1,40,1.6666666666666663,2015,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-03-07
Q5,01:40:00,Foul: Personal,Joe Young,Dario Saric,CNC,Young (IND) makes incidental contact with Saric (PHI) that does not affect his SQBR.,"76ers @ Pacers (Nov 09, 2016)",2,L2M-PHI-IND-11-9-16.pdf,"Nov 09, 2016",NA,PHI,NA,IND,FOUL,PERSONAL,2016-11-09,IND,PHI,NA,NA,NA,IND,201611090IND,NA,Tony Brothers,Derek Richardson,Kevin Scott,15360,NA,IND,home,33.6,PHI,away,PERSONAL,1,40,1.6666666666666663,2017,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-09
Q5,00:29:00,Foul: Loose Ball,Joe Young,Ersan Ilyasova,CNC,Young (IND) and Ilyasova (PHI) make incidental contact with one another during rebounding.,"76ers @ Pacers (Nov 09, 2016)",2,L2M-PHI-IND-11-9-16.pdf,"Nov 09, 2016",NA,PHI,NA,IND,FOUL,LOOSE BALL,2016-11-09,IND,PHI,NA,NA,NA,IND,201611090IND,NA,Tony Brothers,Derek Richardson,Kevin Scott,15360,NA,IND,home,20.9,PHI,away,LOOSE BALL,0,29.6,0.49333333333333335,2017,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-09
Q4,00:08:00,Foul: Loose Ball,Joe Young,Enes Kanter,CNC,Young (IND) and Kanter (OKC) briefly engage and separate during rebounding.,"Pacers @ Thunder (Nov 20, 2016)",1,L2M-IND-OKC-11-20-16.pdf,"Nov 20, 2016",NA,IND,NA,OKC,FOUL,LOOSE BALL,2016-11-20,OKC,IND,NA,NA,NA,OKC,201611200OKC,NA,Tony Brothers,Nick Buchert,Lauren Holtkamp-Sterling,18203,NA,IND,away,25.48333333333333,OKC,home,LOOSE BALL,0,8.9,0.14833333333333334,2017,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-20
Q5,00:28:00,Foul: Loose Ball,Joe Young,Steven Adams,CNC,Young (IND) and Adams (OKC) briefly engage and separate during rebounding.,"Pacers @ Thunder (Nov 20, 2016)",2,L2M-IND-OKC-11-20-16.pdf,"Nov 20, 2016",NA,IND,NA,OKC,FOUL,LOOSE BALL,2016-11-20,OKC,IND,NA,NA,NA,OKC,201611200OKC,NA,Tony Brothers,Nick Buchert,Lauren Holtkamp-Sterling,18203,NA,IND,away,33.71666666666667,OKC,home,LOOSE BALL,0,28.5,0.475,2017,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-20
Q4,01:25:00,Foul: Personal,Joe Young,Mason Plumlee,CNC,Young (IND) maintains legal guarding position and Plumlee (POR) loses control of the ball.,"Trail Blazers (111) @ Pacers (118) (Dec 10, 2016)",1,L2M-POR-IND-12-10-16.pdf,"Dec 10, 2016",111,POR,118,IND,FOUL,PERSONAL,2016-12-10,IND,POR,NA,NA,NA,IND,201612100IND,NA,Tony Brothers,Pat Fraher,Karl Lane,16211,NA,IND,home,25.75,POR,away,PERSONAL,1,25,1.4166666666666667,2017,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-10
Q4,00:57:00,Foul: Personal,Al-Farouq Aminu,George Hill,CNC,Aminu (POR) makes marginal contact with Hill (SAC) that does not affect his SQBR.,"Trail Blazers (82) @ Kings (86) November 17, 2017",1,L2M-POR-SAC-11-17-2017.pdf,"November 17, 2017",82,POR,86,SAC,FOUL,PERSONAL,2017-11-17,SAC,POR,NA,NA,NA,SAC,201711170SAC,NA,Eric Lewis,C.J. Washington,Gary Zielinski,17583,NA,NA,NA,27.41666666666667,SAC,home,PERSONAL,0,57.1,0.9516666666666668,2018,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-11-17
Q5,01:10:00,Foul: Shooting,Mike Muscala,Jonathon Simmons,CNC,Muscala (ATL) obtains a legal guarding position and jumps vertically as he contests Simmons' (ORL) driving shot attempt.,"Hawks (106) @ Magic (110) December 6, 2017",3,L2M-ATL-ORL-12-06-2017.pdf,"December 6, 2017",106,ATL,110,ORL,FOUL,SHOOTING,2017-12-06,ORL,ATL,NA,NA,NA,ORL,201712060ORL,NA,Matt Boland,John Goble,J.T. Orr,16167,NA,NA,NA,40.85,ORL,home,SHOOTING,1,10,1.1666666666666667,2018,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-06
Q4,01:27:00,Foul: Shooting,Tyler Ulis,JaMychal Green,CNC,Ulis (PHX) maintains legal guarding position on Evans' (MEM) driving shot attempt.,"Grizzlies (97) @ Suns (99) December 26, 2017",1,L2M-MEM-PHX-12-26-2017.pdf,"December 26, 2017",97,MEM,99,PHX,FOUL,SHOOTING,2017-12-26,PHX,MEM,NA,NA,NA,PHO,201712260PHO,NA,Mark Ayotte,Justin Van Duyne,James Williams,17105,27.35,PHX,home,NA,NA,NA,SHOOTING,1,27,1.45,2018,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-26
Q4,00:00:00,Turnover: Offensive Goaltending,Tyson Chandler,JaMychal Green,CNC,Chandler (PHX) legally touches the ball above the cylinder on the inbound pass. Goaltending rules do not apply because he,"Grizzlies (97) @ Suns (99) December 26, 2017",2,L2M-MEM-PHX-12-26-2017.pdf,"December 26, 2017",97,MEM,99,PHX,TURNOVER,OFFENSIVE GOALTENDING,2017-12-26,PHX,MEM,NA,NA,NA,PHO,201712260PHO,NA,Mark Ayotte,Justin Van Duyne,James Williams,17105,17.83333333333333,PHX,home,NA,NA,NA,OFFENSIVE GOALTENDING,0,0.4,0.00666666666666666,2018,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-26
Q4,01:03:00,Foul: Offensive,Matt Williams Jr.,Elfrid Payton,CNC,Williams Jr. (MIA) sets the screen on Payton (ORL) and gives him room to avoid the contact.,"Heat (117) @ Magic (111) December 30, 2017",1,L2M-MIA-ORL-12-30-2017.pdf,"December 30, 2017",117,MIA,111,ORL,FOUL,OFFENSIVE,2017-12-30,ORL,MIA,NA,NA,NA,ORL,201712300ORL,NA,Tony Brothers,Derek Richardson,Kevin Scott,18846,NA,MIA,away,39.95,ORL,home,OFFENSIVE,1,3,1.05,2018,FALSE,CNC,CNC,correct,1,clean,0,2015,2015-12-30
Q4,01:42:00,Foul: Shooting,Andrew Wiggins,C.J. Williams,CNC,"Wiggins (MIN) legally contests Williams' (LAC) jump shot attempt. Any ""high-five"" contact after the release is considered","Timberwolves (126) @ Clippers (118) January 22, 2018",1,L2M-MIN-LAC-01-22-2018.pdf,"January 22, 2018",126,MIN,118,LAC,FOUL,SHOOTING,2018-01-22,LAC,MIN,NA,NA,NA,LAC,201801220LAC,NA,Eric Lewis,C.J. Washington,James Williams,16347,41.03333333333333,MIN,away,NA,NA,NA,SHOOTING,1,42,1.7,2018,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-01-22
Q4,00:46:00,Foul: Loose Ball,Zach Randolph,Okaro White,CNC,Randolph (SAC) and Whiteside (MIA) make incidental contact with each other during rebounding.,"Kings (89) @ Heat (88) January 25, 2018",1,L2M-SAC-MIA-01-25-2018.pdf,"January 25, 2018",89,SAC,88,MIA,FOUL,LOOSE BALL,2018-01-25,MIA,SAC,NA,NA,NA,MIA,201801250MIA,NA,David Guthrie,Tom Washington,Haywoode Workman,19600,28.3,SAC,away,NA,NA,NA,LOOSE BALL,0,46.1,0.7683333333333333,2018,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-01-25
Q4,01:54:00,Foul: Personal,Tyreke Evans,Blake Griffin,INC,Evans (MEM) makes contact to Griffin's (DET) arm during the rip-through and affects his SQBR.,"Grizzlies (102) @ Pistons (104) February 1, 2018",1,L2M-MEM-DET-02-01-2018.pdf,"February 1, 2018",102,MEM,104,DET,FOUL,PERSONAL,2018-02-01,DET,MEM,NA,NA,NA,DET,201802010DET,NA,Jason Goldenberg,Rodney Mott,Leroy Richardson,17481,NA,MEM,away,35.25,DET,home,PERSONAL,1,54,1.9,2018,FALSE,INC,INC,incorrect,0,foul,1,2016,2016-02-01
Q4,01:25:00,Foul: Loose Ball,Tyreke Evans,Anthony Tolliver,CNC,Evans (MEM) makes marginal contact with Tolliver (DET) during rebounding.,"Grizzlies (102) @ Pistons (104) February 1, 2018",1,L2M-MEM-DET-02-01-2018.pdf,"February 1, 2018",102,MEM,104,DET,FOUL,LOOSE BALL,2018-02-01,DET,MEM,NA,NA,NA,DET,201802010DET,NA,Jason Goldenberg,Rodney Mott,Leroy Richardson,17481,NA,MEM,away,22.06666666666666,DET,home,LOOSE BALL,1,25,1.4166666666666667,2018,FALSE,CNC,CNC,correct,1,clean,0,2016,2016-02-01
